dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std
breast_cancer,ica,5,knn,0.9437509703462196,0.9303318619728709,0.9319841344972385,0.9832550860719875,0.957087494424043,0.017143123989039548,0.024355325082995295,0.029074056088878343,0.01816965181208371,0.012219179342556218
breast_cancer,ica,5,logreg,0.9666356155876417,0.9591893739699178,0.9604117113901124,0.9888106416275431,0.9742905266450684,0.0179431179653158,0.02607362054984491,0.03365982491143192,0.015322284333841972,0.01318243994056096
breast_cancer,ica,5,mlp,0.9701133364384411,0.9685402466478458,0.9779214941630532,0.9748435054773082,0.9762609131141881,0.007898975840344657,0.008377208420084145,0.015446829650649488,0.020628024707237156,0.006267310698029197
breast_cancer,ica,5,rf,0.9596180717279925,0.9574488923203303,0.9697086629365232,0.9663928012519563,0.9679490058189973,0.03698495052402364,0.041740552711412714,0.03792921682610946,0.02733213352461961,0.029202061723862378
breast_cancer,ica,5,svm_rbf,0.9631113181183046,0.9591825500808469,0.967403668989826,0.9748435054773082,0.9708994433184822,0.0113839635566482,0.013082258507453223,0.022378161701150593,0.02668578653790335,0.009126984571943546
breast_cancer,none,5,knn,0.9630957925787922,0.9553283525442058,0.9571872146118722,0.9860719874804381,0.9714062078423131,0.01999675024369066,0.025795431810529058,0.028806554117091394,0.013889164404682039,0.015302992163610479
breast_cancer,none,5,logreg,0.9736686849868033,0.9676103780304566,0.9682543479911901,0.9915884194053209,0.9796775959930779,0.018589799576866343,0.026175888153911208,0.03240364211815605,0.012575980563728799,0.013922024058981797
breast_cancer,none,5,mlp,0.9718987734823784,0.9680557505238147,0.9728989263235839,0.9831768388106417,0.9779348608098056,0.02092329272406854,0.026207805083591017,0.028666969288556367,0.01180778785491216,0.016296016086664793
breast_cancer,none,5,rf,0.9525694767893185,0.9479642064271936,0.9600337863446857,0.9664710485133021,0.9628365402018932,0.014613813539202093,0.021776513250862224,0.03543066539349293,0.03040764486474497,0.010787657893829622
breast_cancer,none,5,svm_rbf,0.9771619313771154,0.9731786715122779,0.9755616438356164,0.9887715179968701,0.9820783918361992,0.018178759343269152,0.022445464647504795,0.024325311367548143,0.011772572862497874,0.014313265050519662
