dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std
breast_cancer,lda,5,knn,0.9666511411271541,0.9629003348254905,0.9693891892222976,0.9777386541471049,0.9734940193646372,0.03124534595371799,0.030589997521805933,0.01847712985786505,0.034849251863291776,0.025134556678815444
breast_cancer,lda,5,logreg,0.9684055270920664,0.9603763407317288,0.9603104841435923,0.9916275430359939,0.975734655951365,0.02368179201127112,0.03122235430906058,0.03226434736532348,0.007643389786089769,0.01749908114841865
breast_cancer,lda,5,mlp,0.9701599130569786,0.9657139217735352,0.9701848991848993,0.9832550860719875,0.9766145425310576,0.025255536426369577,0.029975002240614692,0.0289918191719237,0.01816965181208371,0.019607604844398486
breast_cancer,lda,5,rf,0.9613879832324173,0.9568244739756366,0.964059467918623,0.975,0.9694377144182953,0.03593812804008722,0.036579126682291435,0.02512202471036687,0.03726779962499651,0.02868877145940642
breast_cancer,lda,5,svm_rbf,0.9666356155876418,0.9579953883507765,0.9576088098665757,0.9916275430359939,0.974369648334277,0.02181396314316357,0.028951453212486107,0.03005363713235223,0.007643389786089769,0.016015899337847014
breast_cancer,none,5,knn,0.9630957925787922,0.9553283525442058,0.9571872146118722,0.9860719874804381,0.9714062078423131,0.01999675024369066,0.025795431810529058,0.028806554117091394,0.013889164404682039,0.015302992163610479
breast_cancer,none,5,logreg,0.9736686849868033,0.9676103780304566,0.9682543479911901,0.9915884194053209,0.9796775959930779,0.018589799576866343,0.026175888153911208,0.03240364211815605,0.012575980563728799,0.013922024058981797
breast_cancer,none,5,mlp,0.9718987734823784,0.9680557505238147,0.9728989263235839,0.9831768388106417,0.9779348608098056,0.02092329272406854,0.026207805083591017,0.028666969288556367,0.01180778785491216,0.016296016086664793
breast_cancer,none,5,rf,0.9525694767893185,0.9479642064271936,0.9600337863446857,0.9664710485133021,0.9628365402018932,0.014613813539202093,0.021776513250862224,0.03543066539349293,0.03040764486474497,0.010787657893829622
breast_cancer,none,5,svm_rbf,0.9771619313771154,0.9731786715122779,0.9755616438356164,0.9887715179968701,0.9820783918361992,0.018178759343269152,0.022445464647504795,0.024325311367548143,0.011772572862497874,0.014313265050519662
breast_cancer,lda,10,knn,0.9666511411271541,0.9629003348254905,0.9693891892222976,0.9777386541471049,0.9734940193646372,0.03124534595371799,0.030589997521805933,0.01847712985786505,0.034849251863291776,0.025134556678815444
breast_cancer,lda,10,logreg,0.9684055270920664,0.9603763407317288,0.9603104841435923,0.9916275430359939,0.975734655951365,0.02368179201127112,0.03122235430906058,0.03226434736532348,0.007643389786089769,0.01749908114841865
breast_cancer,lda,10,mlp,0.9701599130569786,0.9657139217735352,0.9701848991848993,0.9832550860719875,0.9766145425310576,0.025255536426369577,0.029975002240614692,0.0289918191719237,0.01816965181208371,0.019607604844398486
breast_cancer,lda,10,rf,0.9613879832324173,0.9568244739756366,0.964059467918623,0.975,0.9694377144182953,0.03593812804008722,0.036579126682291435,0.02512202471036687,0.03726779962499651,0.02868877145940642
breast_cancer,lda,10,svm_rbf,0.9666356155876418,0.9579953883507765,0.9576088098665757,0.9916275430359939,0.974369648334277,0.02181396314316357,0.028951453212486107,0.03005363713235223,0.007643389786089769,0.016015899337847014
breast_cancer,none,10,knn,0.9630957925787922,0.9553283525442058,0.9571872146118722,0.9860719874804381,0.9714062078423131,0.01999675024369066,0.025795431810529058,0.028806554117091394,0.013889164404682039,0.015302992163610479
breast_cancer,none,10,logreg,0.9736686849868033,0.9676103780304566,0.9682543479911901,0.9915884194053209,0.9796775959930779,0.018589799576866343,0.026175888153911208,0.03240364211815605,0.012575980563728799,0.013922024058981797
breast_cancer,none,10,mlp,0.9718987734823784,0.9680557505238147,0.9728989263235839,0.9831768388106417,0.9779348608098056,0.02092329272406854,0.026207805083591017,0.028666969288556367,0.01180778785491216,0.016296016086664793
breast_cancer,none,10,rf,0.9525694767893185,0.9479642064271936,0.9600337863446857,0.9664710485133021,0.9628365402018932,0.014613813539202093,0.021776513250862224,0.03543066539349293,0.03040764486474497,0.010787657893829622
breast_cancer,none,10,svm_rbf,0.9771619313771154,0.9731786715122779,0.9755616438356164,0.9887715179968701,0.9820783918361992,0.018178759343269152,0.022445464647504795,0.024325311367548143,0.011772572862497874,0.014313265050519662
iris,lda,2,knn,0.9866666666666667,0.9866666666666667,0.9888888888888889,0.9866666666666667,0.9877744904380232,0.029814239699997188,0.02981423969999724,0.024845199749997625,0.02981423969999724,0.027337070440153877
