dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std
breast_cancer,pca,9.0,knn,0.9630651039101744,0.9552572845264173,0.9566894714905816,0.9859862671660424,0.9711959658029433,0.012091869675030635,0.015686535805915704,0.017093474757507183,0.005639091963080841,0.009205497947469016
breast_cancer,pca,9.0,mlp,0.9296759578449719,0.9114155654488494,0.913905672528293,0.9832084893882647,0.9475729537334071,0.030487379686603217,0.04433531703948368,0.04714802943317642,0.011194959195901263,0.019809294458962984
breast_cancer,pca,9.0,svm_rbf,0.9789224859647395,0.9784385084681884,0.9861402642301518,0.9804619225967539,0.9832228624538,0.008075229387479432,0.008905325573887377,0.013795525026355355,0.016604244694132297,0.006399681581900119
breast_cancer,pca,15.0,knn,0.9630651039101744,0.9552572845264176,0.9568536726431464,0.9859862671660424,0.9712588998887848,0.01566524757383586,0.0205928796818979,0.02224809457256082,0.005639091963080841,0.01175672680522028
breast_cancer,pca,15.0,mlp,0.9560228503890476,0.9487009163074458,0.9541322774449559,0.9775905118601748,0.9656938167729545,0.01945102791723887,0.025752235388307287,0.02889427231027178,0.009174968302957843,0.014809560848320531
breast_cancer,pca,15.0,svm_rbf,0.9789224859647395,0.9784385084681884,0.9861402642301518,0.9804619225967539,0.9832228624538,0.008075229387479432,0.008905325573887377,0.013795525026355355,0.016604244694132297,0.006399681581900119
breast_cancer,pca,21.0,knn,0.9665862306707378,0.9590202694744777,0.9596009253903991,0.9887952559300874,0.9740368491502049,0.01565417436384032,0.02093488933387433,0.022786735461691385,6.242197253436554e-05,0.011640964960579786
breast_cancer,pca,21.0,mlp,0.9613168521619226,0.9567615951758415,0.9651529338327091,0.9748439450686641,0.9697608587480316,0.02606093821518937,0.03319185621656174,0.03755252379041734,0.02302313261018234,0.019994161906420425
breast_cancer,pca,21.0,svm_rbf,0.9789224859647395,0.9784385084681884,0.9861402642301518,0.9804619225967539,0.9832228624538,0.008075229387479432,0.008905325573887377,0.013795525026355355,0.016604244694132297,0.006399681581900119
breast_cancer,none,,knn,0.9700950457992712,0.961813652745389,0.9597502326049238,0.99438202247191,0.9768750167168156,0.018548946318631354,0.023161069063778603,0.0228905356446827,0.006487081676287945,0.014001853972441424
