dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std,n_samples,n_features,n_classes,name
breast_cancer,ccpca,2,knn,0.7416239714330073,0.6995434493264497,0.7579127268080756,0.8655320813771518,0.8097811855129663,0.03673179088772094,0.041257916441472385,0.03193832733583075,0.032216949886398456,0.02690547816714593,569,30,2,
breast_cancer,ccpca,2,logreg,0.6274181027790716,0.5,0.6274181027790716,1.0,0.7920933572834363,0.004414757525701765,0.0,0.004414757525701765,0.0,0.0027875003421834756,569,30,2,
breast_cancer,ccpca,2,mlp,0.7785437043937277,0.7317907444668008,0.7741978609625668,0.915962441314554,0.8419635014675986,0.04707725942517605,0.05662939809597187,0.04371105788634785,0.01965237255205084,0.031337772092655175,569,30,2,
breast_cancer,ccpca,2,rf,0.7609687936655799,0.7275356921893115,0.782748870179921,0.8600547730829421,0.8201272417235321,0.03259972363281491,0.041762240171007416,0.03936435838328264,0.030654556793716828,0.02259426034383603,569,30,2,
breast_cancer,ccpca,2,svm_rbf,0.7539823008849558,0.6978171353703617,0.7482806188845579,0.9187793427230047,0.828995966536614,0.046234394560215095,0.055879676587671324,0.03980491137422913,0.024919019462293444,0.02961368084964023,569,30,2,
breast_cancer,ica,2,knn,0.9367644775655954,0.9304843271515397,0.9463438735177865,0.9553208137715181,0.9503702967531,0.02262361992337241,0.02721594190518546,0.03534986116909872,0.03844919466369373,0.01777411114940312,569,30,2,
breast_cancer,ica,2,logreg,0.9402887750349324,0.9313333489307942,0.9420090641550061,0.9664319248826292,0.9536663866098994,0.020851917998391988,0.027292272736896033,0.037936533868106845,0.036324347487198434,0.01591533898984838,569,30,2,
breast_cancer,ica,2,mlp,0.9490762303990063,0.9440444995554722,0.9571774761186527,0.9636150234741784,0.9600078264479126,0.01993173333924054,0.025052729588562726,0.034586752691082995,0.03350728268455448,0.01567722538887433,569,30,2,
breast_cancer,ica,2,rf,0.9332712311752832,0.928490061817936,0.948638316187923,0.9467918622848199,0.9472412951682214,0.019090858940985344,0.0239695590861209,0.034266209964318575,0.03874054426515456,0.015006247101668627,569,30,2,
breast_cancer,ica,2,svm_rbf,0.9332401800962584,0.9228569738846517,0.9338878520337939,0.9636541471048513,0.9482613225866954,0.030711885533326443,0.03609792095914092,0.03954042617485636,0.03749760699422788,0.02388324036751988,569,30,2,
breast_cancer,kpca,2,knn,0.9385033379909953,0.9366249824528566,0.9593214659260537,0.9440140845070422,0.9512504528939043,0.01956359674795656,0.028178414666500437,0.0403107311731975,0.025908293304126487,0.01499580673175858,569,30,2,
breast_cancer,kpca,2,logreg,0.9279770222015216,0.9215915648932352,0.9401707223774496,0.9469483568075118,0.9429872542024926,0.03298777111193896,0.030493410886259023,0.029221987117462097,0.05664343109921141,0.027621789044389732,569,30,2,
breast_cancer,kpca,2,mlp,0.9297158826269213,0.9277909056405618,0.9531621000901115,0.9357589984350547,0.9437337136141893,0.02905322753491633,0.02474652982919647,0.03006179650145039,0.057599764427777166,0.024539370096413878,569,30,2,
breast_cancer,kpca,2,rf,0.9384878124514827,0.9356329189607931,0.9567220241329346,0.94679186228482,0.9512244199823799,0.016412577200031916,0.020119647906927517,0.033501790238337846,0.04098842207733583,0.01338885395237564,569,30,2,
breast_cancer,kpca,2,svm_rbf,0.929731408166434,0.9267434711628948,0.9498438898047988,0.9385367762128325,0.9436475442375194,0.03664049527719497,0.03189431184843859,0.024738424667985925,0.06007936368591411,0.031066288352194327,569,30,2,
breast_cancer,none,2,knn,0.9630957925787922,0.9553283525442058,0.9571872146118722,0.9860719874804381,0.9714062078423131,0.01999675024369066,0.025795431810529058,0.028806554117091394,0.013889164404682039,0.015302992163610479,569,30,2,
breast_cancer,none,2,logreg,0.9736686849868033,0.9676103780304566,0.9682543479911901,0.9915884194053209,0.9796775959930779,0.018589799576866343,0.026175888153911208,0.03240364211815605,0.012575980563728799,0.013922024058981797,569,30,2,
breast_cancer,none,2,mlp,0.9718987734823784,0.9680557505238147,0.9728989263235839,0.9831768388106417,0.9779348608098056,0.02092329272406854,0.026207805083591017,0.028666969288556367,0.01180778785491216,0.016296016086664793,569,30,2,
breast_cancer,none,2,rf,0.9525694767893185,0.9479642064271936,0.9600337863446857,0.9664710485133021,0.9628365402018932,0.014613813539202093,0.021776513250862224,0.03543066539349293,0.03040764486474497,0.010787657893829622,569,30,2,
breast_cancer,none,2,svm_rbf,0.9771619313771154,0.9731786715122779,0.9755616438356164,0.9887715179968701,0.9820783918361992,0.018178759343269152,0.022445464647504795,0.024325311367548143,0.011772572862497874,0.014313265050519662,569,30,2,
breast_cancer,pca,2,knn,0.931516845210371,0.9243497808556768,0.9417027558941538,0.9524647887323944,0.9464526108688538,0.023427776762878882,0.03008077352183521,0.041491675474745124,0.04240223712946275,0.01806254373879246,569,30,2,
breast_cancer,pca,2,logreg,0.9473373699736065,0.94173847997546,0.9547447306752799,0.9636541471048513,0.9587148603557623,0.026986574329330597,0.031030449795634036,0.038085493234791386,0.041275059518170315,0.021331560586341457,569,30,2,
breast_cancer,pca,2,mlp,0.9473063188945815,0.94267517248192,0.9568633042430242,0.9608763693270734,0.9584677089100533,0.01853526078424484,0.020937061664089315,0.0309717955790856,0.03729104932304973,0.0150272372355953,569,30,2,
breast_cancer,pca,2,rf,0.9245148268902345,0.9196722323605716,0.9442513942513943,0.9384585289514866,0.9404516643499468,0.03993473889379176,0.04441936796559158,0.050677712819306345,0.060252233067390935,0.032239427187440814,569,30,2,
breast_cancer,pca,2,svm_rbf,0.9332401800962584,0.9237187335901715,0.9362779198635977,0.9608372456964005,0.9480565037328514,0.022803788552639273,0.02784601057520621,0.035388715576418164,0.0372580437773147,0.018058039171364487,569,30,2,
breast_cancer,ccpca,5,knn,0.7715416860735911,0.7223776769141983,0.7673922494332196,0.915962441314554,0.8381731522243079,0.04377111227352002,0.05565304116626795,0.04355762634688762,0.014001805754415874,0.027106216760496824,569,30,2,
breast_cancer,ccpca,5,logreg,0.6274181027790716,0.5,0.6274181027790716,1.0,0.7920933572834363,0.004414757525701765,0.0,0.004414757525701765,0.0,0.0027875003421834756,569,30,2,
breast_cancer,ccpca,5,mlp,0.7750659835429282,0.746032915841301,0.7975164304877829,0.8601721439749609,0.8281322890857066,0.0412738737217399,0.043378261270631845,0.028794742900134566,0.0432120013729304,0.03255576337873961,569,30,2,
breast_cancer,ccpca,5,rf,0.7856233504114268,0.7538009062124684,0.802161297194878,0.8796948356807512,0.8394582682222949,0.0421362756232721,0.0573001471318308,0.05432882696954815,0.026446821946683262,0.026300033776407737,569,30,2,
breast_cancer,ccpca,5,svm_rbf,0.7768514205868653,0.7228758208163711,0.7640340136515053,0.9355633802816901,0.8452387758096215,0.049603388061235876,0.060043454349770646,0.04493260556582039,0.025494081715510698,0.03197539936605905,569,30,2,
breast_cancer,ica,5,knn,0.9437509703462196,0.9303318619728709,0.9319841344972385,0.9832550860719875,0.957087494424043,0.017143123989039548,0.024355325082995295,0.029074056088878343,0.01816965181208371,0.012219179342556218,569,30,2,
breast_cancer,ica,5,logreg,0.9666356155876417,0.9591893739699178,0.9604117113901124,0.9888106416275431,0.9742905266450684,0.0179431179653158,0.02607362054984491,0.03365982491143192,0.015322284333841972,0.01318243994056096,569,30,2,
breast_cancer,ica,5,mlp,0.9701133364384411,0.9685402466478458,0.9779214941630532,0.9748435054773082,0.9762609131141881,0.007898975840344657,0.008377208420084145,0.015446829650649488,0.020628024707237156,0.006267310698029197,569,30,2,
breast_cancer,ica,5,rf,0.9596180717279925,0.9574488923203303,0.9697086629365232,0.9663928012519563,0.9679490058189973,0.03698495052402364,0.041740552711412714,0.03792921682610946,0.02733213352461961,0.029202061723862378,569,30,2,
breast_cancer,ica,5,svm_rbf,0.9631113181183046,0.9591825500808469,0.967403668989826,0.9748435054773082,0.9708994433184822,0.0113839635566482,0.013082258507453223,0.022378161701150593,0.02668578653790335,0.009126984571943546,569,30,2,
breast_cancer,kpca,5,knn,0.9227138643067846,0.9174215837661629,0.9390348441143382,0.9384976525821596,0.9385845509312212,0.026499690153107342,0.029039256883703197,0.028210162596636543,0.030252459678292386,0.021011534512938447,569,30,2,
breast_cancer,kpca,5,logreg,0.9332557056357708,0.9286594892351523,0.9482064955448823,0.9469092331768388,0.9469587593650293,0.03535302053648655,0.0332804783963488,0.03244740285901875,0.05833548496213957,0.029579427134754466,569,30,2,
breast_cancer,kpca,5,mlp,0.9438441235832945,0.9428148997343232,0.9640830326446764,0.9468701095461658,0.9550424853467421,0.027427009176741,0.027007950229943758,0.028916990903547293,0.04452571698042387,0.022196322610253127,569,30,2,
breast_cancer,kpca,5,rf,0.9367644775655954,0.9304843271515397,0.9454174792343807,0.9553208137715181,0.9499024353932931,0.03120110087031212,0.026942643494608568,0.02280725694852646,0.054058891752589384,0.02621669797402239,569,30,2,
breast_cancer,kpca,5,svm_rbf,0.9297779847849712,0.9287080363316852,0.9548269977636415,0.932942097026604,0.9434054434365258,0.034461259853203016,0.030618041244876642,0.02372828584819464,0.05412606191695352,0.02880458686947698,569,30,2,
breast_cancer,none,5,knn,0.9630957925787922,0.9553283525442058,0.9571872146118722,0.9860719874804381,0.9714062078423131,0.01999675024369066,0.025795431810529058,0.028806554117091394,0.013889164404682039,0.015302992163610479,569,30,2,
breast_cancer,none,5,logreg,0.9736686849868033,0.9676103780304566,0.9682543479911901,0.9915884194053209,0.9796775959930779,0.018589799576866343,0.026175888153911208,0.03240364211815605,0.012575980563728799,0.013922024058981797,569,30,2,
breast_cancer,none,5,mlp,0.9718987734823784,0.9680557505238147,0.9728989263235839,0.9831768388106417,0.9779348608098056,0.02092329272406854,0.026207805083591017,0.028666969288556367,0.01180778785491216,0.016296016086664793,569,30,2,
breast_cancer,none,5,rf,0.9525694767893185,0.9479642064271936,0.9600337863446857,0.9664710485133021,0.9628365402018932,0.014613813539202093,0.021776513250862224,0.03543066539349293,0.03040764486474497,0.010787657893829622,569,30,2,
breast_cancer,none,5,svm_rbf,0.9771619313771154,0.9731786715122779,0.9755616438356164,0.9887715179968701,0.9820783918361992,0.018178759343269152,0.022445464647504795,0.024325311367548143,0.011772572862497874,0.014313265050519662,569,30,2,
breast_cancer,pca,5,knn,0.9525539512498058,0.9459996412584031,0.9545571545571544,0.9720657276995304,0.9629881539625431,0.009968950009044212,0.018748348008792912,0.031341669358531214,0.0220235114866308,0.00713981687604394,569,30,2,
breast_cancer,pca,5,logreg,0.9631423691973297,0.9592379210664503,0.9681703143777447,0.9748435054773082,0.9711030292362273,0.01684086337457673,0.020967148369459877,0.03234753895768537,0.03475722298608976,0.013154207792862995,569,30,2,
breast_cancer,pca,5,mlp,0.9666045645086166,0.9637979037012773,0.972917911216397,0.9748826291079812,0.9736051794779581,0.01302207808069904,0.010963675134954814,0.02089526950006118,0.034575640033572524,0.010591316433523998,569,30,2,
