repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
0,0,0.9649122807017544,0.9566775587646252,0.9567567567567568,0.9888268156424581,0.9726596203853585,breast_cancer,knn,none,
0,1,0.9647887323943662,0.9566461734153063,0.9565217391304348,0.9887640449438202,0.9725092821455774,breast_cancer,knn,none,
1,0,0.9614035087719298,0.9481132075471699,0.9421052631578948,1.0,0.9706210708396428,breast_cancer,knn,none,
1,1,0.9507042253521126,0.9435022259910961,0.9505494505494505,0.9719101123595506,0.9611704444513604,breast_cancer,knn,none,
2,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,knn,none,
2,1,0.9577464788732394,0.9510281958872164,0.9560439560439561,0.9775280898876404,0.9667263429742006,breast_cancer,knn,none,
3,0,0.9473684210526315,0.9388637082323179,0.9456521739130435,0.9720670391061452,0.9587686419152128,breast_cancer,knn,none,
3,1,0.971830985915493,0.9622641509433962,0.956989247311828,1.0,0.9782582722940951,breast_cancer,knn,none,
4,0,0.9614035087719298,0.9500368925898598,0.9468085106382979,0.994413407821229,0.9703190597004534,breast_cancer,knn,none,
4,1,0.971830985915493,0.9660801356794573,0.967032967032967,0.9887640449438202,0.977838140019881,breast_cancer,knn,none,
0,0,0.9649122807017544,0.9586012438073153,0.9617486338797814,0.9832402234636871,0.9724350578274377,breast_cancer,knn,pca,9.0
0,1,0.9577464788732394,0.9491202035191859,0.9510869565217391,0.9831460674157303,0.9669836612242957,breast_cancer,knn,pca,9.0
1,0,0.9578947368421052,0.9433962264150944,0.93717277486911,1.0,0.968076843473239,breast_cancer,knn,pca,9.0
1,1,0.9436619718309859,0.9378842484630061,0.95,0.9606741573033708,0.955322170494437,breast_cancer,knn,pca,9.0
2,0,0.968421052631579,0.9594708548540107,0.956989247311828,0.994413407821229,0.9755218801583222,breast_cancer,knn,pca,9.0
2,1,0.954225352112676,0.9463112147551409,0.9508196721311475,0.9775280898876404,0.964081395902832,breast_cancer,knn,pca,9.0
3,0,0.9473684210526315,0.9407873932750079,0.9505494505494505,0.9664804469273743,0.9584818505290557,breast_cancer,knn,pca,9.0
3,1,0.9683098591549296,0.9575471698113207,0.9518716577540107,1.0,0.975639102206349,breast_cancer,knn,pca,9.0
4,0,0.9543859649122807,0.9425266153683989,0.9414893617021277,0.9888268156424581,0.9648678290279791,breast_cancer,knn,pca,9.0
4,1,0.971830985915493,0.9679881280474878,0.9722222222222222,0.9831460674157303,0.9776688879329034,breast_cancer,knn,pca,9.0
0,0,0.9649122807017544,0.9566775587646252,0.9567567567567568,0.9888268156424581,0.9726596203853585,breast_cancer,knn,pca,15.0
0,1,0.9647887323943662,0.9566461734153063,0.9565217391304348,0.9887640449438202,0.9725092821455774,breast_cancer,knn,pca,15.0
1,0,0.9614035087719298,0.9481132075471699,0.9421052631578948,1.0,0.9706210708396428,breast_cancer,knn,pca,15.0
1,1,0.9471830985915493,0.9406932372270511,0.9502762430939227,0.9662921348314607,0.9582507289946857,breast_cancer,knn,pca,15.0
2,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,knn,pca,15.0
2,1,0.9612676056338029,0.9538371846512614,0.9562841530054644,0.9831460674157303,0.9696220935804345,breast_cancer,knn,pca,15.0
3,0,0.9508771929824561,0.9416570043217034,0.9459459459459459,0.9776536312849162,0.9616691162002132,breast_cancer,knn,pca,15.0
3,1,0.9753521126760564,0.9669811320754718,0.9621621621621622,1.0,0.9808986503009178,breast_cancer,knn,pca,15.0
4,0,0.9614035087719298,0.9500368925898598,0.9468085106382979,0.994413407821229,0.9703190597004534,breast_cancer,knn,pca,15.0
4,1,0.971830985915493,0.9660801356794573,0.967032967032967,0.9887640449438202,0.977838140019881,breast_cancer,knn,pca,15.0
0,0,0.9649122807017544,0.9566775587646252,0.9567567567567568,0.9888268156424581,0.9726596203853585,breast_cancer,knn,pca,21.0
0,1,0.9647887323943662,0.9566461734153063,0.9565217391304348,0.9887640449438202,0.9725092821455774,breast_cancer,knn,pca,21.0
1,0,0.9614035087719298,0.9481132075471699,0.9421052631578948,1.0,0.9706210708396428,breast_cancer,knn,pca,21.0
1,1,0.9507042253521126,0.9435022259910961,0.9505494505494505,0.9719101123595506,0.9611704444513604,breast_cancer,knn,pca,21.0
2,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,knn,pca,21.0
2,1,0.9612676056338029,0.9538371846512614,0.9562841530054644,0.9831460674157303,0.9696220935804345,breast_cancer,knn,pca,21.0
3,0,0.9473684210526315,0.9388637082323179,0.9456521739130435,0.9720670391061452,0.9587686419152128,breast_cancer,knn,pca,21.0
3,1,0.971830985915493,0.9622641509433962,0.956989247311828,1.0,0.9782582722940951,breast_cancer,knn,pca,21.0
4,0,0.9614035087719298,0.9500368925898598,0.9468085106382979,0.994413407821229,0.9703190597004534,breast_cancer,knn,pca,21.0
4,1,0.971830985915493,0.9660801356794573,0.967032967032967,0.9887640449438202,0.977838140019881,breast_cancer,knn,pca,21.0
0,0,0.9614035087719298,0.9500368925898598,0.9468085106382979,0.994413407821229,0.9703190597004534,breast_cancer,mlp,none,
0,1,0.9401408450704225,0.927443290226839,0.93048128342246,0.9775280898876404,0.9537146279994647,breast_cancer,mlp,none,
1,0,0.9543859649122807,0.9425266153683989,0.9414893617021277,0.9888268156424581,0.9648678290279791,breast_cancer,mlp,none,
1,1,0.9577464788732394,0.9491202035191859,0.9510869565217391,0.9831460674157303,0.9669836612242957,breast_cancer,mlp,none,
2,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,mlp,none,
2,1,0.9049295774647887,0.8955374178503286,0.9171270718232044,0.9325842696629213,0.9248233779832432,breast_cancer,mlp,none,
