dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std
breast_cancer,pca,9.0,knn,0.9588757104027674,0.9503633298315968,0.9523949976941417,0.983745527587722,0.967907867877685,0.00938256500593951,0.009935329573829473,0.00980914539999589,0.013072620283071672,0.007494695494261989
breast_cancer,pca,9.0,mlp,0.9465863602668643,0.9327091004485144,0.9324375444915141,0.9871163141045759,0.9592993804013326,0.01919454255378818,0.02510695850009637,0.025459714568160506,0.00877601128753843,0.013918797536115834
breast_cancer,pca,9.0,svm_rbf,0.9715332344946874,0.9671552319377315,0.9708173891984485,0.984310463875463,0.977510309755148,0.00928303182285121,0.009552240981370128,0.0090860824965951,0.012629347832284457,0.007437395727601299
breast_cancer,pca,15.0,knn,0.9630948851000742,0.9544910362257992,0.9546055903086008,0.9882273554704664,0.9712542634645095,0.008958575622210481,0.009485652272895181,0.00810037915971574,0.010399985392184409,0.007090185759709563
breast_cancer,pca,15.0,mlp,0.9230701754385965,0.921457156629474,0.9485379987731399,0.9278199736363065,0.9374515297737764,0.05376672128414182,0.047983773754713285,0.02865766611737965,0.07698274617967793,0.04614525012304933
breast_cancer,pca,15.0,svm_rbf,0.9718878181368915,0.9682008970288141,0.9729462146265571,0.982628209151968,0.977740604415821,0.013251455845930278,0.013938529431474299,0.012094037496989948,0.015080370949481139,0.010614171792162964
breast_cancer,pca,21.0,knn,0.9627440079070919,0.9540209073800577,0.9540862423658301,0.9882304940053984,0.9709921497809948,0.008469202678092244,0.008955958268775434,0.007741025983965793,0.010043725885770965,0.006703222342397318
breast_cancer,pca,21.0,mlp,0.9321373857178157,0.9208263407169834,0.9297904978431062,0.9652375870943443,0.9471335926338522,0.0307956469029884,0.03156039151834321,0.025590571428002796,0.03835708648886864,0.02496708035142108
breast_cancer,pca,21.0,svm_rbf,0.9708314801087227,0.9669766019259945,0.9718184053905567,0.9820664113991588,0.97689149508111,0.013157395829393253,0.013068715094543028,0.01028566378931346,0.016703986766403726,0.010606208940120296
breast_cancer,none,,knn,0.9623918952310355,0.953740008503653,0.9540622226696792,0.9876686962525895,0.9707025747203712,0.008609440847946915,0.009006270796007007,0.007733817598110363,0.01050619795919436,0.006830326366916708
breast_cancer,none,,mlp,0.9493661971830987,0.9380012329112695,0.9394850088749698,0.9826062394074446,0.9607799880838588,0.018238072871293743,0.018830055237947535,0.01365570817173205,0.01844543084793631,0.01451735211201093
breast_cancer,none,,svm_rbf,0.9708314801087227,0.9671674011627974,0.9723644395413631,0.9815046136463497,0.9768836089405243,0.013157395829393253,0.013295684771456784,0.011074102759601459,0.016547439412169053,0.010598711999482436
digits,pca,19.0,knn,0.9617123455658477,0.9616264060683314,0.9625115461608656,0.9616264060683314,0.9620688372130459,0.0054705789495061025,0.005530771683958526,0.005439723558986531,0.005530771683958526,0.005478207852853404
digits,pca,19.0,mlp,0.9452424247679307,0.9450701059174941,0.9459678189708247,0.9450701059174941,0.9455188096115622,0.007719966885756907,0.007712436834558296,0.007529848059242747,0.007712436834558296,0.00761542312323671
digits,pca,19.0,svm_rbf,0.969837681561547,0.9697863440640464,0.9705320872572235,0.9697863440640464,0.970159109256234,0.005210527586513762,0.0052463858693646915,0.004839223454918088,0.0052463858693646915,0.005039710935427654
digits,pca,32.0,knn,0.9646072968975675,0.9644584688918659,0.9654042229930985,0.9644584688918659,0.9649311994287555,0.005599574551726147,0.005644194335346828,0.005372997033787476,0.005644194335346828,0.005504448161257585
digits,pca,32.0,mlp,0.9505814428801116,0.950424210165998,0.9513305607485419,0.950424210165998,0.9508772397845073,0.010792154409314029,0.010841373107587891,0.010779677858908031,0.010841373107587891,0.01080691016789691
digits,pca,32.0,svm_rbf,0.9732879393337314,0.9732173383561749,0.9740481899555922,0.9732173383561749,0.9736326156967798,0.006007294980028926,0.006034593913488236,0.005454156958185247,0.006034593913488236,0.005740828317298853
digits,pca,44.0,knn,0.965052483457244,0.964866819702673,0.9658781528959883,0.964866819702673,0.9653723121085249,0.005304873239161869,0.005337198753959081,0.0050454832184840025,0.005337198753959081,0.005184961471239607
digits,pca,44.0,mlp,0.951804405290709,0.9516424177076603,0.9527357638233432,0.9516424177076603,0.9521888888075839,0.011647030032793246,0.011740197299085228,0.011482467831399225,0.011740197299085228,0.011608119446534684
digits,pca,44.0,svm_rbf,0.976404616859614,0.9763554577550206,0.977060809031908,0.9763554577550206,0.9767080202242647,0.004416617484717708,0.004448835568890287,0.00389474182021129,0.004448835568890287,0.0041684509300984746
digits,none,,knn,0.964719398688471,0.9645900368281103,0.9655262795704767,0.9645900368281103,0.9650580127670276,0.0047477428557647,0.004782147601563114,0.004532753546395723,0.004782147601563114,0.004651920427471743
digits,none,,mlp,0.9406814302454348,0.9404095779582363,0.9412997934321956,0.9404095779582363,0.9408544275159818,0.013817972034685235,0.01387777286549244,0.013780134655219912,0.01387777286549244,0.01381765668685572
digits,none,,svm_rbf,0.9755144914790252,0.975457658610502,0.9762272993548982,0.975457658610502,0.9758423524076552,0.004294566181464097,0.004306293744978562,0.003774356174778025,0.004306293744978562,0.0040358303694161
syn_E1_f100_inf10pct,pca,30.0,knn,0.9269999999999999,0.9269531738293457,0.934696982796328,0.9175879396984925,0.926035208431815,0.016150335393834186,0.016159624999420877,0.018850339118271116,0.021736855206041312,0.01652984051826141
syn_E1_f100_inf10pct,pca,30.0,mlp,0.8962499999999999,0.896136153403835,0.9147094760292065,0.8733668341708543,0.8932908243647837,0.032940392293420634,0.033047476951201096,0.02833130392356203,0.060663347663869195,0.03652472425061997
syn_E1_f100_inf10pct,pca,30.0,svm_rbf,0.9279999999999999,0.9279656991424785,0.9338796982167903,0.921105527638191,0.9273163707372539,0.013784048752090208,0.013784008189557363,0.02193949427001219,0.023336645905350912,0.01399085307634692
syn_E1_f100_inf10pct,pca,50.0,knn,0.9269999999999999,0.9269531738293457,0.934696982796328,0.9175879396984925,0.926035208431815,0.016150335393834186,0.016159624999420877,0.018850339118271116,0.021736855206041312,0.01652984051826141
syn_E1_f100_inf10pct,pca,50.0,mlp,0.91425,0.9141816045401135,0.9258431688921218,0.9005025125628141,0.9129112358453773,0.01867299000041385,0.018665378242798146,0.02700287075715245,0.02646354125042747,0.01913176425799636
syn_E1_f100_inf10pct,pca,50.0,svm_rbf,0.9279999999999999,0.9279656991424785,0.9338796982167903,0.921105527638191,0.9273163707372539,0.013784048752090208,0.013784008189557363,0.02193949427001219,0.023336645905350912,0.01399085307634692
syn_E1_f100_inf10pct,pca,70.0,knn,0.9269999999999999,0.9269531738293457,0.934696982796328,0.9175879396984925,0.926035208431815,0.016150335393834186,0.016159624999420877,0.018850339118271116,0.021736855206041312,0.01652984051826141
syn_E1_f100_inf10pct,pca,70.0,mlp,0.907,0.9069126728168205,0.9209697385852488,0.8894472361809044,0.9044889867432028,0.03737571998563298,0.03751214436985497,0.02579611260294428,0.06898244650577556,0.04190048616700676
syn_E1_f100_inf10pct,pca,70.0,svm_rbf,0.9279999999999999,0.9279656991424785,0.9338796982167903,0.921105527638191,0.9273163707372539,0.013784048752090208,0.013784008189557363,0.02193949427001219,0.023336645905350912,0.01399085307634692
syn_E1_f100_inf10pct,none,,knn,0.9269999999999999,0.9269531738293457,0.934696982796328,0.9175879396984925,0.926035208431815,0.016150335393834186,0.016159624999420877,0.018850339118271116,0.021736855206041312,0.01652984051826141
syn_E1_f100_inf10pct,none,,mlp,0.8967499999999999,0.8966411660291508,0.9135961518042457,0.8748743718592966,0.8938368102878419,0.03345913759929998,0.0335333750058678,0.026630828614004145,0.05061010897099154,0.03658569829795258
syn_E1_f100_inf10pct,none,,svm_rbf,0.9279999999999999,0.9279656991424785,0.9338796982167903,0.921105527638191,0.9273163707372539,0.013784048752090208,0.013784008189557363,0.02193949427001219,0.023336645905350912,0.01399085307634692
syn_E1_f100_inf20pct,pca,30.0,knn,0.9025000000000001,0.9026152615261527,0.9143581831790091,0.8910891089108912,0.902448632503307,0.013070322617798431,0.01303937319622449,0.021195391419126852,0.02671025421821561,0.013543942363518548
syn_E1_f100_inf20pct,pca,30.0,mlp,0.8322499999999999,0.8322357235723572,0.8359836534867833,0.8336633663366337,0.8344041012414836,0.06594873851038482,0.06601119423611511,0.07009603913451377,0.06868334902516506,0.06385395827306128
syn_E1_f100_inf20pct,pca,30.0,svm_rbf,0.9099999999999999,0.91002100210021,0.913422545549032,0.907920792079208,0.9105716621402721,0.01645701471510956,0.016366291121849456,0.013313527840160261,0.028313677345910504,0.017196635353654136
syn_E1_f100_inf20pct,pca,50.0,knn,0.9025000000000001,0.9026152615261527,0.9143581831790091,0.8910891089108912,0.902448632503307,0.013070322617798431,0.01303937319622449,0.021195391419126852,0.02671025421821561,0.013543942363518548
syn_E1_f100_inf20pct,pca,50.0,mlp,0.8560000000000001,0.8559455945594561,0.8544737043062334,0.8613861386138615,0.857712702884176,0.04413048832723246,0.044027828049612916,0.03880505345059507,0.058248721434728694,0.04531895107100589
syn_E1_f100_inf20pct,pca,50.0,svm_rbf,0.9099999999999999,0.91002100210021,0.913422545549032,0.907920792079208,0.9105716621402721,0.01645701471510956,0.016366291121849456,0.013313527840160261,0.028313677345910504,0.017196635353654136
syn_E1_f100_inf20pct,pca,70.0,knn,0.9025000000000001,0.9026152615261527,0.9143581831790091,0.8910891089108912,0.902448632503307,0.013070322617798431,0.01303937319622449,0.021195391419126852,0.02671025421821561,0.013543942363518548
syn_E1_f100_inf20pct,pca,70.0,mlp,0.84175,0.8417416741674166,0.8444675074133423,0.8425742574257425,0.8431857409675416,0.02993163506689499,0.029853606631882648,0.030746936769819464,0.04724200820403125,0.03126627183103882
